GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new Predicate() {...},0,20,0,2,0,3,0,3,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new Predicate() {...},0,25,0,2,0,3,0,3,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new Function() {...},0,6,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new Function() {...},5,65,1,5,1,15,1,4,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},0,8,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new Function() {...},0,6,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelUtil,76,13,20,3,23,4,18,3,2,1
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.FactorHandler,5,42,1,3,1,13,1,5,0,4
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.CovariateHandler,11,41,2,2,2,13,2,4,0,4
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelUtil.new Object() {...},15,99,0,0,0,2,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row,9,150,3,11,3,35,3,10,0,6
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,RichPPCell,28,0,2,0,9,0,4,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new Object() {...},28,193,0,0,0,6,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.ContrastMatrixHandler,8,108,4,4,2,29,4,9,0,9
PMML class model evaluator code coverage,org.jpmml.evaluator.general_regression,GeneralRegressionModelEvaluator.Row.ContrastMatrixHandler.new Function() {...},0,19,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,MatrixUtil.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,MatrixUtil.new Object() {...},3,23,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,MatrixUtil.new Predicate() {...},0,23,0,4,0,2,0,4,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,MatrixUtil.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ContinuousValue.ContinuousDouble,0,13,0,0,0,4,0,3,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator,FloatEquivalence,3,23,1,3,1,7,1,3,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ExpressionUtil,176,587,42,90,41,156,35,52,2,15
PMML class model evaluator code coverage,org.jpmml.evaluator,CsvUtil,162,56,24,8,20,14,18,3,4,1
PMML class model evaluator code coverage,org.jpmml.evaluator,IntegrationTestBatch,67,74,10,4,5,24,8,6,1,6
PMML class model evaluator code coverage,org.jpmml.evaluator,OutputUtil,261,884,58,113,65,250,59,73,3,20
